timestamp,fwd,bwd,bwd_inner,bwd_allreduce,step
"2024-12-09 12:01:39,435",917.83,1012.25,948.16,63.73,1.13
"2024-12-09 12:01:40,064",38.87,49.26,39.16,9.8,477.07
"2024-12-09 12:01:40,240",39.51,49.65,40.0,9.33,22.56
"2024-12-09 12:01:40,410",38.2,47.86,38.45,9.12,22.49
"2024-12-09 12:01:40,577",37.87,48.16,38.05,9.77,22.28
"2024-12-09 12:01:40,746",37.71,49.73,39.82,9.62,22.58
"2024-12-09 12:01:40,916",37.42,50.24,39.13,10.83,22.44
"2024-12-09 12:01:41,090",37.86,51.97,40.07,11.61,23.04
"2024-12-09 12:01:41,256",36.4,49.19,38.61,10.27,22.07
"2024-12-09 12:01:41,423",37.43,48.15,39.05,8.82,21.95
"2024-12-09 12:01:41,589",36.65,48.24,38.69,9.28,22.04
"2024-12-09 12:01:41,756",37.0,48.43,38.58,9.58,22.33
"2024-12-09 12:01:41,925",37.0,49.8,39.63,9.87,21.72
"2024-12-09 12:01:42,092",36.66,45.07,39.31,5.43,22.27
"2024-12-09 12:01:42,260",36.98,48.93,38.33,10.29,22.17
"2024-12-09 12:01:42,438",37.47,58.73,39.94,18.5,21.92
"2024-12-09 12:01:42,660",37.54,102.89,38.93,63.67,22.52
"2024-12-09 12:01:42,881",37.73,101.0,39.93,60.76,22.45
"2024-12-09 12:01:43,102",37.85,102.08,39.35,62.43,22.16
"2024-12-09 12:01:43,319",36.99,99.71,38.76,60.66,22.9
"2024-12-09 12:01:43,542",37.74,102.38,39.4,62.64,22.16
"2024-12-09 12:01:43,726",37.41,65.41,39.26,25.87,23.09
"2024-12-09 12:01:43,911",37.53,64.25,39.22,24.74,22.76
"2024-12-09 12:01:44,096",37.88,64.61,39.49,24.79,22.54
"2024-12-09 12:01:44,285",37.88,67.29,39.73,27.27,23.15
"2024-12-09 12:01:44,472",37.81,66.74,39.36,27.1,23.1
"2024-12-09 12:01:44,660",37.58,68.04,39.58,28.16,22.43
"2024-12-09 12:01:44,847",38.2,65.97,39.26,26.36,22.3
"2024-12-09 12:01:45,035",38.42,67.3,39.75,27.27,22.94
"2024-12-09 12:01:45,223",37.88,66.96,39.5,27.18,23.27
"2024-12-09 12:01:45,410",37.65,66.27,39.1,26.89,22.34
"2024-12-09 12:01:45,594",36.71,67.36,38.36,28.73,22.51
"2024-12-09 12:01:45,784",37.95,69.38,38.99,30.05,23.23
"2024-12-09 12:01:45,973",37.85,68.62,39.28,29.05,22.93
"2024-12-09 12:01:46,165",38.33,70.39,39.72,30.36,23.62
"2024-12-09 12:01:46,353",37.52,68.82,38.9,29.63,22.21
"2024-12-09 12:01:46,539",37.43,68.16,39.37,28.49,22.67
"2024-12-09 12:01:46,728",37.37,68.96,40.42,28.26,22.58
"2024-12-09 12:01:46,915",37.27,67.92,39.25,28.39,22.47
"2024-12-09 12:01:47,103",38.05,68.21,39.41,28.5,22.78
"2024-12-09 12:01:47,278",37.62,54.78,39.15,15.35,22.77
"2024-12-09 12:01:47,463",37.06,65.91,39.53,26.11,23.14
"2024-12-09 12:01:47,653",37.9,69.64,38.96,30.38,23.02
"2024-12-09 12:01:47,839",37.06,66.78,38.18,28.3,22.27
"2024-12-09 12:01:48,023",37.11,65.87,38.66,26.92,23.09
"2024-12-09 12:01:48,211",38.2,68.05,39.51,28.25,22.89
"2024-12-09 12:01:48,397",36.81,68.86,38.91,29.66,22.41
"2024-12-09 12:01:48,585",37.61,67.28,39.89,27.1,22.96
"2024-12-09 12:01:48,757",36.6,66.72,38.23,28.19,22.1
